SimTime,Total_Vehicles,Avg_Net_Speed_mps,Veh_At_Red_light,Emerg_At_Red_Light,Veh_Receiving_V2V,Veh_Receiving_RSU,Veh_Receiving_Strat,Veh_ReactingV2V,Veh_Reacting_RSUStrat,Veh_ReactingRSU
176,23,2.05925,703,0,0,0,0,0,0,0
177,23,2.16933,700,0,0,0,0,0,0,0
178,23,2.54577,700,0,0,0,0,0,0,0
179,23,2.93502,700,0,0,0,0,0,0,0
180,23,3.52728,700,0,0,0,0,0,0,0
181,22,3.76618,304,0,0,0,0,0,0,0
182,22,4.28991,300,0,0,0,0,0,0,0
183,22,4.97166,300,0,0,0,0,0,0,0
184,22,5.2244,300,0,0,0,0,0,0,0
185,22,5.38448,201,0,0,0,0,0,0,0
186,22,5.27433,200,0,0,0,0,0,0,0
187,22,4.92898,200,0,0,0,0,0,0,0
188,22,4.95397,200,0,0,0,0,0,0,0
189,22,5.24991,200,0,0,0,0,0,0,0
190,22,5.30256,200,0,0,0,0,0,0,0
191,22,5.21202,200,0,0,0,0,0,0,0
192,22,5.46386,200,0,0,0,0,0,0,0
193,22,5.39732,200,0,0,0,0,0,0,0
194,22,4.73234,300,0,0,0,0,0,0,0
195,22,4.30601,400,0,0,0,0,0,0,0
196,22,4.08818,301,0,0,0,0,0,0,0
197,22,3.93344,300,0,0,0,0,0,0,0
198,22,3.64427,400,0,0,0,0,0,0,0
199,22,3.31031,400,0,0,0,0,0,0,0
200,22,3.21218,500,0,0,0,0,0,0,0
